year,city,country,avg_temp,avg_temp_world
1750,Boston,United States,7.88,8.72
1751,Boston,United States,8.60,7.98
1752,Boston,United States,0.36,5.78
1753,Boston,United States,7.35,8.39
1754,Boston,United States,7.75,8.47
1755,Boston,United States,4.28,8.36
1756,Boston,United States,7.76,8.85
1757,Boston,United States,6.65,9.02
1758,Boston,United States,6.09,6.74
1759,Boston,United States,6.80,7.99
1760,Boston,United States,5.53,7.19
1761,Boston,United States,8.05,8.77
1762,Boston,United States,7.42,8.61
1763,Boston,United States,4.99,7.50
1764,Boston,United States,7.36,8.40
1765,Boston,United States,6.73,8.25
1766,Boston,United States,7.96,8.41
1767,Boston,United States,6.28,8.22
1768,Boston,United States,6.74,6.78
1769,Boston,United States,6.94,7.69
1770,Boston,United States,6.99,7.69
1771,Boston,United States,7.72,7.85
1772,Boston,United States,7.44,8.19
1773,Boston,United States,7.97,8.22
1774,Boston,United States,7.35,8.77
1775,Boston,United States,8.08,9.18
1776,Boston,United States,6.83,8.30
1777,Boston,United States,6.56,8.26
1778,Boston,United States,4.75,8.54
1779,Boston,United States,-2.31,8.98
1780,Boston,United States,,9.43
1781,Boston,United States,7.61,8.10
1782,Boston,United States,6.98,7.90
1783,Boston,United States,6.64,7.68
1784,Boston,United States,6.24,7.86
1785,Boston,United States,6.32,7.36
1786,Boston,United States,6.81,8.26
1787,Boston,United States,6.81,8.03
1788,Boston,United States,7.60,8.45
1789,Boston,United States,7.25,8.33
1790,Boston,United States,7.22,7.98
1791,Boston,United States,7.11,8.23
1792,Boston,United States,6.47,8.09
1793,Boston,United States,7.81,8.23
1794,Boston,United States,7.76,8.53
1795,Boston,United States,7.02,8.35
1796,Boston,United States,6.82,8.27
1797,Boston,United States,6.70,8.51
1798,Boston,United States,7.37,8.67
1799,Boston,United States,6.85,8.51
1800,Boston,United States,7.59,8.48
1801,Boston,United States,8.01,8.59
1802,Boston,United States,8.24,8.58
1803,Boston,United States,7.81,8.50
1804,Boston,United States,7.43,8.84
1805,Boston,United States,8.26,8.56
1806,Boston,United States,7.05,8.43
1807,Boston,United States,6.89,8.28
1808,Boston,United States,7.31,7.63
1809,Boston,United States,6.57,7.08
1810,Boston,United States,7.24,6.92
1811,Boston,United States,7.43,6.86
1812,Boston,United States,5.48,7.05
1813,Boston,United States,6.61,7.74
1814,Boston,United States,6.36,7.59
1815,Boston,United States,6.13,7.24
1816,Boston,United States,5.83,6.94
1817,Boston,United States,5.57,6.98
1818,Boston,United States,5.91,7.83
1819,Boston,United States,6.99,7.37
1820,Boston,United States,6.80,7.62
1821,Boston,United States,6.52,8.09
1822,Boston,United States,7.37,8.19
1823,Boston,United States,6.26,7.72
1824,Boston,United States,7.04,8.55
1825,Boston,United States,8.00,8.39
1826,Boston,United States,7.84,8.36
1827,Boston,United States,6.96,8.81
1828,Boston,United States,8.45,8.17
1829,Boston,United States,6.74,7.94
1830,Boston,United States,7.72,8.52
1831,Boston,United States,7.15,7.64
1832,Boston,United States,6.67,7.45
1833,Boston,United States,6.76,8.01
1834,Boston,United States,6.91,8.15
1835,Boston,United States,5.97,7.39
1836,Boston,United States,5.28,7.70
1837,Boston,United States,5.59,7.38
1838,Boston,United States,6.36,7.51
1839,Boston,United States,6.95,7.63
1840,Boston,United States,6.98,7.80
1841,Boston,United States,6.83,7.69
1842,Boston,United States,6.93,8.02
1843,Boston,United States,6.30,8.17
1844,Boston,United States,6.57,7.65
1845,Boston,United States,7.01,7.85
1846,Boston,United States,7.37,8.55
1847,Boston,United States,7.12,8.09
1848,Boston,United States,7.06,7.98
1849,Boston,United States,6.58,7.98
1850,Boston,United States,6.72,7.90
1851,Boston,United States,6.61,8.18
1852,Boston,United States,6.69,8.10
1853,Boston,United States,7.12,8.04
1854,Boston,United States,6.95,8.21
1855,Boston,United States,6.92,8.11
1856,Boston,United States,5.92,8.00
1857,Boston,United States,6.64,7.76
1858,Boston,United States,6.56,8.10
1859,Boston,United States,6.57,8.25
1860,Boston,United States,6.90,7.96
1861,Boston,United States,7.04,7.85
1862,Boston,United States,6.77,7.56
1863,Boston,United States,6.92,8.11
1864,Boston,United States,7.14,7.98
1865,Boston,United States,7.49,8.18
1866,Boston,United States,6.77,8.29
1867,Boston,United States,6.42,8.44
1868,Boston,United States,5.89,8.25
1869,Boston,United States,6.68,8.43
1870,Boston,United States,7.91,8.20
1871,Boston,United States,6.63,8.12
1872,Boston,United States,6.41,8.19
1873,Boston,United States,6.00,8.35
1874,Boston,United States,6.47,8.43
1875,Boston,United States,5.28,7.86
1876,Boston,United States,6.83,8.08
1877,Boston,United States,7.79,8.54
1878,Boston,United States,8.01,8.83
1879,Boston,United States,6.85,8.17
1880,Boston,United States,7.61,8.12
1881,Boston,United States,7.35,8.27
1882,Boston,United States,6.89,8.13
1883,Boston,United States,6.18,7.98
1884,Boston,United States,7.08,7.77
1885,Boston,United States,6.33,7.92
1886,Boston,United States,6.95,7.95
1887,Boston,United States,6.80,7.91
1888,Boston,United States,5.89,8.09
1889,Boston,United States,7.98,8.32
1890,Boston,United States,7.15,7.97
1891,Boston,United States,7.91,8.02
1892,Boston,United States,7.23,8.07
1893,Boston,United States,6.43,8.06
1894,Boston,United States,7.75,8.16
1895,Boston,United States,7.27,8.15
1896,Boston,United States,7.28,8.21
1897,Boston,United States,7.53,8.29
1898,Boston,United States,8.01,8.18
1899,Boston,United States,7.53,8.40
1900,Boston,United States,7.95,8.50
1901,Boston,United States,7.29,8.54
1902,Boston,United States,7.46,8.30
1903,Boston,United States,7.35,8.22
1904,Boston,United States,5.85,8.09
1905,Boston,United States,6.83,8.23
1906,Boston,United States,7.61,8.38
1907,Boston,United States,6.48,7.95
1908,Boston,United States,7.85,8.19
1909,Boston,United States,7.43,8.18
1910,Boston,United States,7.62,8.22
1911,Boston,United States,7.73,8.18
1912,Boston,United States,7.16,8.17
1913,Boston,United States,8.58,8.30
1914,Boston,United States,6.89,8.59
1915,Boston,United States,7.98,8.59
1916,Boston,United States,7.05,8.23
1917,Boston,United States,6.04,8.02
1918,Boston,United States,7.17,8.13
1919,Boston,United States,7.90,8.38
1920,Boston,United States,7.16,8.36
1921,Boston,United States,8.52,8.57
1922,Boston,United States,7.71,8.41
1923,Boston,United States,7.07,8.42
1924,Boston,United States,6.88,8.51
1925,Boston,United States,7.68,8.53
1926,Boston,United States,6.39,8.73
1927,Boston,United States,7.99,8.52
1928,Boston,United States,7.81,8.63
1929,Boston,United States,7.70,8.24
1930,Boston,United States,8.21,8.63
1931,Boston,United States,8.74,8.72
1932,Boston,United States,8.19,8.71
1933,Boston,United States,7.89,8.34
1934,Boston,United States,7.29,8.63
1935,Boston,United States,7.30,8.52
1936,Boston,United States,7.58,8.55
1937,Boston,United States,8.26,8.70
1938,Boston,United States,8.38,8.86
1939,Boston,United States,7.55,8.76
1940,Boston,United States,6.68,8.76
1941,Boston,United States,8.16,8.77
1942,Boston,United States,8.03,8.73
1943,Boston,United States,7.22,8.76
1944,Boston,United States,7.87,8.85
1945,Boston,United States,7.96,8.58
1946,Boston,United States,8.28,8.68
1947,Boston,United States,7.96,8.80
1948,Boston,United States,7.68,8.75
1949,Boston,United States,9.30,8.59
1950,Boston,United States,7.85,8.37
1951,Boston,United States,8.27,8.63
1952,Boston,United States,8.58,8.64
1953,Boston,United States,9.33,8.87
1954,Boston,United States,8.12,8.56
1955,Boston,United States,8.20,8.63
1956,Boston,United States,7.45,8.28
1957,Boston,United States,8.51,8.73
1958,Boston,United States,7.20,8.77
1959,Boston,United States,8.41,8.73
1960,Boston,United States,7.81,8.58
1961,Boston,United States,7.94,8.80
1962,Boston,United States,7.09,8.75
1963,Boston,United States,7.44,8.86
1964,Boston,United States,7.74,8.41
1965,Boston,United States,7.49,8.53
1966,Boston,United States,7.77,8.60
1967,Boston,United States,7.34,8.70
1968,Boston,United States,7.55,8.52
1969,Boston,United States,7.97,8.60
1970,Boston,United States,7.70,8.70
1971,Boston,United States,7.79,8.60
1972,Boston,United States,7.19,8.50
1973,Boston,United States,8.97,8.95
1974,Boston,United States,7.86,8.47
1975,Boston,United States,8.35,8.74
1976,Boston,United States,7.52,8.35
1977,Boston,United States,7.88,8.85
1978,Boston,United States,7.07,8.69
1979,Boston,United States,8.32,8.73
1980,Boston,United States,7.54,8.98
1981,Boston,United States,8.02,9.17
1982,Boston,United States,7.62,8.64
1983,Boston,United States,8.54,9.03
1984,Boston,United States,8.30,8.69
1985,Boston,United States,7.86,8.66
1986,Boston,United States,7.84,8.83
1987,Boston,United States,7.97,8.99
1988,Boston,United States,7.90,9.20
1989,Boston,United States,7.51,8.92
1990,Boston,United States,9.20,9.23
1991,Boston,United States,9.08,9.18
1992,Boston,United States,7.40,8.84
1993,Boston,United States,7.84,8.87
1994,Boston,United States,7.96,9.04
1995,Boston,United States,8.13,9.35
1996,Boston,United States,7.93,9.04
1997,Boston,United States,7.87,9.20
1998,Boston,United States,9.63,9.52
1999,Boston,United States,9.30,9.29
2000,Boston,United States,8.00,9.20
2001,Boston,United States,8.91,9.41
2002,Boston,United States,9.02,9.57
2003,Boston,United States,7.78,9.53
2004,Boston,United States,8.09,9.32
2005,Boston,United States,8.56,9.70
2006,Boston,United States,9.48,9.53
2007,Boston,United States,8.36,9.73
2008,Boston,United States,8.53,9.43
2009,Boston,United States,8.07,9.51
2010,Boston,United States,9.58,9.70
2011,Boston,United States,9.12,9.52
2012,Boston,United States,10.06,9.51
2013,Boston,United States,10.38,9.61